num,dt,bola-1,bola-2,bola-3,bola-4,bola-5,bola-6,bola-7,bola-8,bola-9,bola-10,bola-11,bola-12,bola-13,bola-14,bola-15,bola-16,bola-17,bola-18,bola-19,bola-20,bola-21,bola-22,bola-23,bola-24,bola-25
1911, 03/01/20,I,P,.,P,I,.,.,P,.,.,I,P,I,P,I,.,.,.,I,.,I,P,.,P,I
1912, 06/01/20,.,P,.,.,I,P,I,P,I,P,.,.,.,P,.,P,.,P,.,P,I,P,I,P,.
1913, 08/01/20,.,P,.,.,I,P,I,P,I,P,I,P,.,P,.,P,.,.,I,P,.,.,.,P,I
1914, 10/01/20,.,P,.,P,I,.,.,P,.,P,.,P,I,P,I,.,I,P,I,P,I,.,.,.,I
1915, 13/01/20,.,P,.,P,.,.,.,P,.,P,I,P,I,.,I,P,I,.,I,P,I,P,.,.,I
1916, 15/01/20,.,.,.,P,I,P,I,P,.,P,I,.,I,.,I,.,.,P,I,P,.,.,I,P,I
1917, 17/01/20,I,P,I,P,.,.,.,.,.,P,.,.,I,P,I,.,I,.,I,P,I,.,I,P,I
1918, 20/01/20,.,P,.,P,I,P,I,.,I,P,I,P,.,.,.,.,I,P,I,P,.,P,.,P,.
1919, 22/01/20,I,P,I,.,I,P,.,.,I,P,I,.,.,.,I,.,.,.,I,P,I,P,I,P,.
1920, 24/01/20,.,P,.,P,.,P,.,.,I,P,I,P,I,P,.,.,I,P,.,P,I,P,.,.,I
1921, 27/01/20,.,P,I,P,I,P,I,P,I,P,.,.,I,.,I,P,.,P,.,.,I,.,.,P,.
1922, 29/01/20,.,P,I,P,I,P,I,P,.,P,.,P,.,.,.,P,I,P,I,.,.,.,I,.,I
1923, 31/01/20,I,.,.,P,I,.,I,.,.,P,I,P,.,P,.,.,I,.,I,P,.,P,I,P,I
1924, 03/02/20,.,P,I,.,.,.,.,P,I,P,I,P,I,P,.,.,I,P,.,.,.,P,I,P,I
1925, 05/02/20,I,P,I,P,I,P,I,.,I,.,.,.,I,P,.,P,.,P,.,P,I,.,I,.,.
1926, 07/02/20,I,.,.,P,I,P,.,.,I,P,.,.,I,P,I,P,I,P,.,.,I,.,I,P,.
1927, 10/02/20,I,P,.,P,I,.,.,P,.,P,I,.,I,.,I,.,I,P,.,.,I,P,I,P,.
1928, 12/02/20,I,P,I,.,I,P,I,P,I,P,.,.,.,.,I,P,.,.,I,.,.,.,I,P,I
1929, 14/02/20,I,P,I,P,.,.,I,P,I,P,I,.,I,.,I,.,.,.,I,P,.,P,.,.,I
1930, 17/02/20,I,P,.,P,I,.,I,P,.,P,.,.,I,P,.,P,I,.,.,.,I,P,I,P,.
1931, 19/02/20,.,.,I,P,I,P,I,.,I,P,I,P,.,P,.,P,.,P,I,.,.,P,I,.,.
1932, 21/02/20,.,P,.,P,.,P,.,P,I,P,I,P,.,P,.,P,I,.,I,P,.,P,.,P,.
1933, 26/02/20,I,.,.,.,.,.,I,.,I,P,I,P,I,.,.,P,.,.,I,P,I,P,I,P,I
1934, 28/02/20,I,P,I,P,I,.,I,P,I,P,I,P,.,.,.,.,.,.,.,P,.,.,I,P,I
1935, 02/03/20,I,.,I,.,I,P,I,P,.,P,.,P,.,.,I,P,I,P,.,.,.,P,I,P,.
1936, 04/03/20,.,P,I,P,I,P,.,P,.,.,I,.,I,P,I,.,I,.,I,P,I,.,.,.,I
1937, 06/03/20,.,.,I,P,I,P,.,.,I,P,I,P,.,.,I,.,I,.,I,.,I,P,I,P,.
1938, 09/03/20,.,.,I,P,.,P,I,P,.,P,I,P,.,.,.,P,.,P,I,P,I,P,.,.,I
1939, 11/03/20,.,P,I,P,.,P,I,.,I,P,I,P,I,.,.,.,.,.,I,P,.,P,I,P,.
1940, 13/03/20,I,.,.,.,I,.,.,P,.,P,I,P,I,.,I,.,I,P,.,.,I,P,I,P,I
1941, 16/03/20,I,.,I,P,I,.,.,P,.,P,.,P,I,P,.,P,I,.,.,P,.,P,.,P,I
1942, 18/03/20,I,P,I,P,.,.,I,P,.,P,I,P,I,.,I,.,.,P,.,P,.,.,.,P,I
1943, 20/03/20,.,P,I,.,.,P,.,.,I,P,.,.,I,P,I,P,I,P,I,P,.,P,I,.,.
1944, 23/03/20,I,P,.,P,I,.,I,P,I,P,I,.,I,.,.,P,.,P,.,.,.,P,I,P,.
1945, 25/03/20,.,.,I,P,I,.,.,P,I,P,.,P,.,.,I,.,I,.,I,P,.,P,I,P,I
1946, 27/03/20,I,P,I,P,.,P,I,.,.,P,I,.,I,P,I,.,.,.,.,P,I,P,I,.,.
1947, 30/03/20,.,P,.,.,I,P,.,.,I,.,I,.,I,P,I,P,.,P,I,.,.,P,I,P,I
1948, 01/04/20,I,.,I,.,.,.,I,.,I,.,I,P,I,P,.,P,I,.,I,P,I,P,.,P,.
1949, 03/04/20,.,P,I,.,I,P,.,P,.,P,I,.,.,P,I,P,.,.,I,P,.,P,I,.,I
1950, 06/04/20,.,P,I,P,.,P,.,P,I,P,I,P,.,.,.,P,.,P,.,P,I,.,I,.,I
1951, 08/04/20,.,.,I,P,.,P,.,.,I,P,I,P,I,.,.,P,.,P,I,P,.,P,I,.,I
1952, 11/04/20,.,.,I,.,I,.,I,.,I,P,I,.,I,P,.,P,I,P,.,P,I,P,.,P,.
1953, 13/04/20,I,.,I,P,I,P,.,.,I,P,.,.,.,.,I,P,.,P,I,P,I,P,I,.,.
1954, 15/04/20,.,P,I,P,.,P,I,P,.,P,.,.,I,.,.,P,.,P,.,.,I,P,I,P,I
1955, 17/04/20,I,P,.,P,I,.,.,.,I,.,.,P,.,P,I,P,.,.,I,P,.,P,I,P,I
